0	1	None None None None	Example 1	E:\Dropbox\source\git-repos\easyam\easyam\bin\Debug\input0.amin	
1	1	None None None None	Initial Phone Notes	E:\Dropbox\source\git-repos\easyam\easyam\bin\Debug\input0.amin	
2	1	None None None None	Joe's Dental Project	E:\Dropbox\source\git-repos\easyam\easyam\bin\Debug\input0.amin	
3	1	Business Meta Realized As-Is	Called Joe to talk about upcoming project	E:\Dropbox\source\git-repos\easyam\easyam\bin\Debug\input0.amin	
4	1	Business Meta Realized As-Is	time=45	E:\Dropbox\source\git-repos\easyam\easyam\bin\Debug\input0.amin	
5	1	None None None None	Patient	E:\Dropbox\source\git-repos\easyam\easyam\bin\Debug\input0.amin	
6	1	None None None None	Dentist	E:\Dropbox\source\git-repos\easyam\easyam\bin\Debug\input0.amin	
7	1	None None None None	Procedure	E:\Dropbox\source\git-repos\easyam\easyam\bin\Debug\input0.amin	
8	1	None None None None	Q: Is there more than one dentist?	E:\Dropbox\source\git-repos\easyam\easyam\bin\Debug\input0.amin	
9	1	None None None None	Q: How many different kinds of procedures are they? Is there a list/codes?	E:\Dropbox\source\git-repos\easyam\easyam\bin\Debug\input0.amin	
10	1	None None None None	Perform Procedure	E:\Dropbox\source\git-repos\easyam\easyam\bin\Debug\input0.amin	
11	1	None None None None	This seems to be a hot button with Joe	E:\Dropbox\source\git-repos\easyam\easyam\bin\Debug\input0.amin	
12	1	None None None None	Plan Daily Work	E:\Dropbox\source\git-repos\easyam\easyam\bin\Debug\input0.amin	
13	1	None None None None	NOTE: used by the office manager and others (?) to optimize day	E:\Dropbox\source\git-repos\easyam\easyam\bin\Debug\input0.amin	
14	1	None None None None	The customer should never wait	E:\Dropbox\source\git-repos\easyam\easyam\bin\Debug\input0.amin	
15	1	None None None None	Telephone calls should be no more than 5 minutes total	E:\Dropbox\source\git-repos\easyam\easyam\bin\Debug\input0.amin	
16	1	None None None None	Anything done on the phone should also be availale online	E:\Dropbox\source\git-repos\easyam\easyam\bin\Debug\input0.amin	
17	1	None None None None	We always need to learn how we're doing	E:\Dropbox\source\git-repos\easyam\easyam\bin\Debug\input0.amin	
18	1	None None None None	Follow-up contacts should occur with any customer interaction	E:\Dropbox\source\git-repos\easyam\easyam\bin\Debug\input0.amin	
19	1	None None None None	Follow-up contacts should be fun	E:\Dropbox\source\git-repos\easyam\easyam\bin\Debug\input0.amin	
